Collections,Sales,Buyers,Txns,Owners
Slotie,"$27,350,338","5,353","12,469",
BAPETAVERSE,"$26,825,881","4,273","9,609",
Galaxy Fight Club,"$26,578,826","5,098","17,905","2,709"
Gutter Juice,"$26,518,100","9,002","27,029",
X Rabbits Club,"$25,965,049","4,082","9,232","3,117"
Reptile Armoury,"$25,222,708","3,672","14,189",
LinksDAO,"$25,037,948","8,600","12,723",
Cets on Crek,"$24,928,643","6,995","13,486","4,355"
VaynerSports Pass,"$24,894,438","8,465","15,787",
BugBears,"$24,656,262","9,623","24,760","6,744"
Bold Badgers,"$24,540,097","6,385","18,939","3,960"
Cool Monkes,"$24,427,723","7,550","17,950",
Purrnelopes Country Club,"$24,317,715","2,590","9,356","3,567"
CatBloxGenesis,"$24,317,312","8,606","18,734",
The Other Side,"$24,266,379","12,898","19,386",
Waves Ducks,"$23,913,938","1,697","18,643","1,459"
The Wicked Craniums,"$23,771,443","8,168","22,808","4,770"
MetaLegends,"$23,690,859","7,298","14,365",
Akutar Mint Pass,"$23,081,480","2,741","4,946",
Frakt,"$23,044,120","4,812","13,452","1,351"
Cupcats Official,"$22,999,905","3,526","9,406","1,845"
The Doggies,"$22,982,129","15,430","21,304",
Rtfkt Nike x Monolith,"$22,940,255","1,810","2,439",1
Dippies,"$22,928,482","11,212","21,227",
We Are All Going to Die,"$22,924,686","6,443","17,510",
Catalina Whale Mixer,"$22,859,083","5,320","12,185","2,081"
Acrocalypse,"$22,585,557","7,792","17,659",
Voxies,"$22,576,502","2,096","7,333","1,879"
The Vogu Collective,"$22,506,045","4,668","11,912","2,804"
FoxFam,"$22,451,715","7,255","17,375","3,644"
Solsteads,"$22,403,840","2,892","5,304","1,463"
The Currency Palm,"$22,368,176",430,"1,149","6,497"
hic et nunc,"$22,131,069","48,654","1,417,665","35,816"
FOMO MOFOS,"$22,016,043","6,668","13,515",
Habbo Avatars,"$21,913,123","5,782","13,242","4,324"
Stoner Cats,"$21,912,687","5,755","10,461","5,074"
CryptoonGoonz,"$21,674,278","6,856","12,514","3,876"
Deafbeef,"$21,553,055",101,149,114
Bastard Gan Punks V2,"$21,075,560","3,582","11,377","2,911"
Mindblowon,"$21,049,328","10,826","15,024",
Sipherian Surge,"$20,973,246","6,092","14,599","3,666"
Chimpers,"$20,898,419","3,759","5,189",
Llamaverse Genesis,"$20,823,545","3,980","5,218",
Starcatchers,"$20,721,269","8,274","15,515",
Space Punks Club,"$20,649,569","6,174","14,016","4,307"
Milady,"$20,584,236","5,386","12,359",
Something Token,"$20,563,335","8,186","18,215",
Los Muertos,"$20,303,183","10,707","23,653",
Gods Unchained,"$20,280,023","3,576","386,409","15,272"
DystoPunks V2,"$20,247,979","1,326","3,169",673
Gutter Rats,"$20,207,213","2,706","4,790",
Nouns,"$20,144,759",69,89,
Wool Pouch,"$19,972,856","2,043","5,349","3,272"
Divine Anarchy,"$19,953,430","8,104","16,016",
Jadu Hoverboard,"$19,820,428","6,573","10,057",
BYOPills,"$19,700,617","5,586","13,728","3,216"
FrankenPunks,"$19,493,219","7,754","14,451",
